passage,question,option1,option2,option3,option4,answer
私は毎日学校へ行きます。友達と勉強します。,What does the person do daily?,Go to school,Play games,Sleep,Watch TV,Go to school
彼は日本に住んでいます。,Where does he live?,India,Japan,China,Korea,Japan
私は水を飲みます。,What does the person drink?,Milk,Juice,Water,Tea,Water
彼女は先生です。,What is she?,Doctor,Teacher,Engineer,Nurse,Teacher
私は毎朝6時に起きます。そして朝ご飯を食べます。,What time does the person wake up?,5 AM,6 AM,7 AM,8 AM,6 AM
田中さんは毎日図書館で勉強します。,Where does Tanaka study?,School,Library,Home,Park,Library
私は電車で会社へ行きます。,How does the person go to work?,Bus,Train,Car,Bicycle,Train
今日は雨です。私は傘を持っています。,Why does the person have an umbrella?,It is sunny,It is raining,It is windy,It is snowy,It is raining
彼はサッカーが好きです。,What sport does he like?,Baseball,Tennis,Soccer,Basketball,Soccer
私は犬を飼っています。犬の名前はポチです。,What is the dog's name?,Taro,Pochi,Hana,Kuma,Pochi
山田さんはスーパーで野菜を買いました。,Where did Yamada buy vegetables?,Bakery,Market,Supermarket,School,Supermarket
私は夜10時に寝ます。,What time does the person sleep?,8 PM,9 PM,10 PM,11 PM,10 PM
彼女は毎日ピアノを練習します。,What does she practice?,Guitar,Violin,Piano,Drums,Piano
今日は日曜日です。私は家で休みます。,What day is it?,Monday,Tuesday,Saturday,Sunday,Sunday
私は日本語を勉強しています。,What language is the person studying?,English,Chinese,Korean,Japanese,Japanese
彼は毎朝コーヒーを飲みます。,What does he drink every morning?,Tea,Milk,Coffee,Juice,Coffee
私は友達と映画を見ました。,What did the person do with a friend?,Read a book,Watched a movie,Played football,Cooked food,Watched a movie
田中さんは学校の先生です。,What is Tanaka's job?,Doctor,Teacher,Engineer,Farmer,Teacher
私は土曜日に公園へ行きます。,Where does the person go on Saturday?,Mall,Park,Office,Station,Park
彼女は猫が好きです。,What animal does she like?,Dog,Rabbit,Cat,Bird,Cat
私は朝パンを食べます。そして牛乳を飲みます。,What does the person drink?,Tea,Milk,Juice,Coffee,Milk
彼は毎日7時に学校へ行きます。,What time does he go to school?,6 AM,7 AM,8 AM,9 AM,7 AM
私は本を読みます。本はとても面白いです。,How is the book?,Boring,Interesting,Difficult,Small,Interesting
彼女は公園で友達と遊びます。,Where does she play with friends?,School,Park,Library,Home,Park
今日はとても暑いです。私は水をたくさん飲みます。,Why does the person drink a lot of water?,It is cold,It is hot,It is raining,It is snowy,It is hot
私は毎晩テレビを見ます。,What does the person do every night?,Study,Read books,Watch TV,Cook,Watch TV
彼は駅まで歩きます。,How does he go to the station?,Bus,Car,Walk,Bicycle,Walk
母は台所で料理を作っています。,Where is the mother cooking?,Bedroom,Kitchen,Garden,Office,Kitchen
私は月曜日に英語を勉強します。,What does the person study on Monday?,Math,Science,English,History,English
彼女は毎日犬と散歩します。,Who does she walk with?,Cat,Friend,Dog,Sister,Dog
