Japanese,English,Type
必要,Necessary,Adjective
約束,Promise,Noun
運転する,To drive,Verb
意味,Meaning,Noun
続ける,To continue,Verb
経験,Experience,Noun
卒業する,To graduate,Verb
準備,Preparation,Noun
連絡,Contact,Noun
調べる,To check,Verb
案内,Guide,Noun
安心,Relief,Noun
残念,Regret,Adjective
理由,Reason,Noun
習慣,Habit,Noun
利用する,To use,Verb
伝える,To tell,Verb
手伝う,To help,Verb
選ぶ,To choose,Verb
決める,To decide,Verb
急ぐ,To hurry,Verb
遅れる,To be late,Verb
受付,Reception,Noun
危険,Danger,Noun
説明する,To explain,Verb
到着,Arrival,Noun
出発,Departure,Noun
片付ける,To clean up,Verb
途中,On the way,Noun
会議,Meeting,Noun
質問,Question,Noun
確認,Confirmation,Noun
自由,Freedom,Noun
機会,Opportunity,Noun
旅行,Travel,Noun
特別,Special,Adjective
遠慮,Restraint,Noun
紹介,Introduction,Noun
予定,Schedule,Noun
招待,Invitation,Noun
