passage,question,option1,option2,option3,option4,answer
現代社会では多様な価値観が存在しています。,What exists in modern society?,Technology,Opinions,Values,Food,Values
哲学的な議論は難しいですが興味深いです。,How is philosophical discussion?,Easy,Boring,Interesting,Dangerous,Interesting
多くの研究者が環境問題について分析しています。,What are researchers analyzing?,Food,Sports,Environment,Travel,Environment
新しい理論が発表されました。,What was announced?,Policy,Theory,Game,Food,Theory
現代人はストレスを感じやすいです。,What do modern people feel easily?,Joy,Stress,Anger,Hunger,Stress
技術の進歩が社会を変えています。,What changes society?,Sports,Technology,Food,Weather,Technology
議論を通じて理解が深まります。,What deepens through discussion?,Confusion,Understanding,Money,Travel,Understanding
人々の価値観は時代によって変化します。,What changes over time?,Weather,Values,Food,Language,Values
研究の結果、新しい発見がありました。,What happened after research?,Failure,Discovery,Travel,Meeting,Discovery
哲学は人生について考える学問です。,What does philosophy study?,Food,Life,Weather,Sports,Life
