passage,question,option1,option2,option3,option4,answer
最近の技術発展により生活が便利になっています。,What improved due to technology?,Weather,Life,Traffic,Food,Life
企業は新しい制度を導入しました。,What did the company introduce?,Food,Rule,System,Building,System
健康のために毎日運動する人が増えています。,Why do people exercise?,Health,Money,Travel,Study,Health
会議では新しい計画について議論しました。,What was discussed?,Food,Travel,New plan,School,New plan
調査の結果、多くの人がスマホを使っています。,What do many people use?,Computer,Phone,Tablet,TV,Phone
経済状況が改善しています。,What is improving?,Weather,Economy,Food,Traffic,Economy
会社は新しい政策を発表しました。,What was announced?,Rule,Policy,Food,Technology,Policy
彼はデータを分析しています。,What is he doing?,Cooking,Analysis,Traveling,Teaching,Analysis
最近需要が増えています。,What is increasing?,Demand,Food,Rain,Travel,Demand
専門知識が必要です。,What is needed?,Money,Experience,Special knowledge,Food,Special knowledge
