Japanese,English,Type
影響,Influence,Noun
維持,Maintenance,Noun
制度,System,Noun
改善,Improvement,Noun
課題,Task/Issue,Noun
議論,Discussion,Noun
分析,Analysis,Noun
調査,Research,Noun
達成,Achievement,Noun
傾向,Trend,Noun
解釈,Interpretation,Noun
政策,Policy,Noun
基準,Standard,Noun
対応,Response,Noun
要因,Factor,Noun
能力,Ability,Noun
適応,Adaptation,Noun
証拠,Evidence,Noun
管理者,Manager,Noun
発表,Announcement,Noun
現象,Phenomenon,Noun
変化,Change,Noun
議題,Agenda,Noun
実現,Realization,Noun
観察,Observation,Noun
統計,Statistics,Noun
貢献,Contribution,Noun
需要,Demand,Noun
供給,Supply,Noun
専門,Specialty,Noun
