Japanese,English,Type
概念,Concept,Noun
抽象,Abstract,Noun
仮説,Hypothesis,Noun
認識,Recognition,Noun
哲学,Philosophy,Noun
洞察,Insight,Noun
見解,Opinion,Noun
理論,Theory,Noun
証明,Proof,Noun
議題,Agenda,Noun
論理,Logic,Noun
思考,Thinking,Noun
推測,Inference,Noun
知覚,Perception,Noun
根拠,Basis,Noun
矛盾,Contradiction,Noun
前提,Premise,Noun
意識,Awareness,Noun
分析力,Analytical ability,Noun
本質,Essence,Noun
観念,Idea,Noun
価値観,Values,Noun
抽出,Extraction,Noun
構造,Structure,Noun
把握,Understanding,Noun
展望,Prospect,Noun
判断,Judgment,Noun
認知,Cognition,Noun
仮定,Assumption,Noun
心理,Psychology,Noun
