passage,question,option1,option2,option3,option4,answer
最近環境問題について考える人が増えています。,What are people thinking about?,Sports,Environment,Food,Travel,Environment
彼は毎日新聞を読んでニュースを確認します。,What does he read daily?,Magazine,Book,Newspaper,Comic,Newspaper
日本では電車がとても便利です。,What is convenient in Japan?,Bus,Train,Car,Taxi,Train
彼女は仕事の後で日本語を勉強しています。,What does she study after work?,English,Japanese,Science,History,Japanese
最近健康のために運動する人が多いです。,Why do people exercise?,Fun,Health,Travel,Food,Health
会社では毎週会議があります。,How often is the meeting?,Every day,Every week,Every month,Never,Every week
彼はコンピューターの技術に興味があります。,What is he interested in?,Sports,Technology,Music,Movies,Technology
図書館では静かに勉強しなければなりません。,How should people study in library?,Loudly,Quietly,Quickly,Outside,Quietly
彼女は旅行の計画を立てています。,What is she planning?,Study,Travel,Work,Exercise,Travel
毎日少しずつ勉強すると上達します。,What helps improvement?,Sleeping,Study little daily,Watching TV,Skipping class,Study little daily
