Japanese,English,Type
私,I,Pronoun
あなた,You,Pronoun
彼,He,Pronoun
彼女,She,Pronoun
学校,School,Noun
先生,Teacher,Noun
学生,Student,Noun
水,Water,Noun
食べる,To eat,Verb
飲む,To drink,Verb
行く,To go,Verb
見る,To see,Verb
来る,To come,Verb
大きい,Big,Adjective
小さい,Small,Adjective
新しい,New,Adjective
古い,Old,Adjective
友達,Friend,Noun
家,House,Noun
車,Car,Noun
電車,Train,Noun
駅,Station,Noun
本,Book,Noun
猫,Cat,Noun
犬,Dog,Noun
先生,Teacher,Noun
病院,Hospital,Noun
銀行,Bank,Noun
公園,Park,Noun
映画,Movie,Noun
音楽,Music,Noun
時間,Time,Noun
朝,Morning,Noun
夜,Night,Noun
今日,Today,Noun
明日,Tomorrow,Noun
昨日,Yesterday,Noun
日本,Japan,Noun
英語,English language,Noun
日本語,Japanese language,Noun
電話,Telephone,Noun
机,Desk,Noun
椅子,Chair,Noun
部屋,Room,Noun
新聞,Newspaper,Noun
雑誌,Magazine,Noun
鉛筆,Pencil,Noun
ペン,Pen,Noun
鞄,Bag,Noun
靴,Shoes,Noun
服,Clothes,Noun
買う,To buy,Verb
書く,To write,Verb
読む,To read,Verb
話す,To speak,Verb
聞く,To listen,Verb
寝る,To sleep,Verb
起きる,To wake up,Verb
働く,To work,Verb
勉強する,To study,Verb
遊ぶ,To play,Verb
歩く,To walk,Verb
走る,To run,Verb
作る,To make,Verb
使う,To use,Verb
会う,To meet,Verb
好き,Like,Adjective
嫌い,Dislike,Adjective
暑い,Hot,Adjective
寒い,Cold,Adjective
高い,Expensive/Tall,Adjective
安い,Cheap,Adjective
早い,Early/Fast,Adjective
遅い,Late/Slow,Adjective
面白い,Interesting,Adjective
難しい,Difficult,Adjective
簡単,Easy,Adjective
忙しい,Busy,Adjective
静か,Quiet,Adjective
元気,Healthy/Fine,Adjective
きれい,Clean/Beautiful,Adjective
赤,Red,Noun
青,Blue,Noun
白,White,Noun
黒,Black,Noun
一,One,Number
二,Two,Number
三,Three,Number
四,Four,Number
五,Five,Number
六,Six,Number
七,Seven,Number
八,Eight,Number
九,Nine,Number
十,Ten,Number
